Dearborn,Indiana,3454
Decatur,Georgia,1808
Decatur,Indiana,1752
Decatur,Iowa,779
Decatur,Kansas,137
Decatur,Tennessee,783
Deer Lodge,Montana,623
Defiance,Ohio,2689
Del Norte,California,1867
Delaware,Indiana,11057
Delaware,Iowa,1156
Delaware,New York,3561
Delaware,Ohio,11544
Delaware,Oklahoma,2299
Delaware,Pennsylvania,47424
Delta,Colorado,1966
Delta,Michigan,2404
Delta,Texas,341
Dent,Missouri,977
Denton,Texas,44895
Denver,Colorado,33372
Des Moines,Iowa,2509
Deschutes,Oregon,9931
Desha,Arkansas,970
Deuel,Nebraska,95
Deuel,South Dakota,310
Dewey,Oklahoma,327
Dewey,South Dakota,566
Dickens,Texas,137
Dickenson,Virginia,861
Dickey,North Dakota,367
Dickinson,Iowa,845
Dickinson,Kansas,1342
Dickinson,Michigan,1783
Dickson,Tennessee,3449
Dillon,South Carolina,2430
Dimmit,Texas,810
Dinwiddie,Virginia,1128
District of Columbia,District of Columbia,39908
Divide,North Dakota,87
Dixie,Florida,849
Dixon,Nebraska,433
Doddridge,West Virginia,340
Dodge,Georgia,1738
Dodge,Minnesota,1452
Dodge,Nebraska,2519
Dodge,Wisconsin,5747
Dolores,Colorado,102
Dona Ana,New Mexico,3385
Doniphan,Kansas,764
Donley,Texas,404
Dooly,Georgia,1359
Door,Wisconsin,1533
Dorchester,Maryland,1995
Dorchester,South Carolina,11226
Dougherty,Georgia,8332
Douglas,Colorado,19167
Douglas,Georgia,10815
Douglas,Illinois,1454
Douglas,Kansas,10512
Douglas,Minnesota,2366
Douglas,Missouri,713
Douglas,Nebraska,35451
Douglas,Nevada,1902
Douglas,Oregon,6801
Douglas,South Dakota,203
Douglas,Washington,2824
Douglas,Wisconsin,3033
Doña Ana,New Mexico,15706
Drew,Arkansas,1501
DuPage,Illinois,65962
Dubois,Indiana,2804
Dubuque,Iowa,7128
Duchesne,Utah,1570
Dukes,Massachusetts,818
Dundy,Nebraska,111
Dunklin,Missouri,2239
Dunn,North Dakota,192
Dunn,Wisconsin,4127
Duplin,North Carolina,3401
Durham,North Carolina,18236
Dutchess,New York,24598
Duval,Florida,58365
Duval,Texas,1006
Dyer,Tennessee,2684
Eagle,Colorado,2606
East Baton Rouge,Louisiana,34317
East Carroll,Louisiana,555
East Feliciana,Louisiana,1444
Eastland,Texas,1610
Eaton,Michigan,8262
Eau Claire,Wisconsin,8205
Echols,Georgia,95
Ector,Texas,10717
Eddy,New Mexico,3927
Eddy,North Dakota,138
Edgar,Illinois,1133
Edgecombe,North Carolina,4054
Edgefield,South Carolina,1283
Edmonson,Kentucky,646
Edmunds,South Dakota,270
Edwards,Illinois,420
Edwards,Kansas,192
Edwards,Texas,116
Effingham,Georgia,3886
Effingham,Illinois,2686
El Dorado,California,12500
El Paso,Colorado,42820
El Paso,Texas,69460
Elbert,Colorado,1570
Elbert,Georgia,1464
Elk,Kansas,165
Elk,Pennsylvania,1908
Elkhart,Indiana,14532
Elko,Nevada,3880
Elliott,Kentucky,326
Ellis,Kansas,2194
Ellis,Oklahoma,251
Ellis,Texas,12866
Ellsworth,Kansas,315
Elmore,Alabama,6100
Elmore,Idaho,1878
Emanuel,Georgia,1546
Emery,Utah,831
Emmet,Iowa,890
Emmet,Michigan,2227
Emmons,North Dakota,235
Emporia (city),Virginia,933
Erath,Texas,3573
Erie,New York,66141
Erie,Ohio,5281
Erie,Pennsylvania,22565
Escambia,Alabama,2542
Escambia,Florida,23103
Esmeralda,Nevada,42
Essex,Massachusetts,51892
Essex,New Jersey,54926
Essex,New York,2378
Essex,Vermont,403
Essex,Virginia,771
Estill,Kentucky,942
Etowah,Alabama,6721
Eureka,Nevada,117
Evangeline,Louisiana,2599
Evans,Georgia,763
Fairfax,Virginia,62046
Fairfax (city),Virginia,6642
Fairfield,Connecticut,62198
Fairfield,Ohio,11863
Fairfield,South Carolina,1570
Fall River,South Dakota,411
Fallon,Montana,158
Falls,Texas,1003
Falls Church (city),Virginia,986
Fannin,Georgia,1252
