POINT_ID,ZIP_CODE,LAT,LONG,POPULATION,CITY,COUNTY,STATE,STATE_ABBREVIATION
347130,85746,32.0916103,-111.0442938,3680,Tucson,Pima,Arizona,AZ
347131,85757,32.1285169,-111.1220583,1404,Tucson,nan,Arizona,AZ
347132,85756,32.0792592,-110.8989212,2563,Tucson,Pima,Arizona,AZ
347133,85713,32.1945703,-111.014995,3983,Tucson,Pima,Arizona,AZ
347135,85701,32.216958,-110.9709988,218,Tucson,Pima,Arizona,AZ
347137,85714,32.1673952,-110.9508636,1302,Tucson,Pima,Arizona,AZ
347138,85706,32.1476191,-110.933338,5189,Tucson,Pima,Arizona,AZ
347140,85716,32.2415401,-110.9232009,1821,Tucson,Pima,Arizona,AZ
347141,85745,32.2539077,-111.0801403,2800,Tucson,Pima,Arizona,AZ
347142,85741,32.3352906,-111.0417587,2389,Tucson,Pima,Arizona,AZ
347143,85742,32.3937207,-111.0653968,1977,Tucson,Pima,Arizona,AZ
347144,85705,32.271329,-110.9937116,4241,Tucson,Pima,Arizona,AZ
347147,85704,32.33942,-110.9849966,1625,Tucson,Pima,Arizona,AZ
347148,85719,32.2467191,-110.9486573,7756,Tucson,Pima,Arizona,AZ
347150,85718,32.3333044,-110.9166066,1478,Tucson,Pima,Arizona,AZ
347151,85755,32.4682513,-110.9814384,795,Oro Valley,nan,Arizona,AZ
347152,85737,32.4146149,-110.9465615,1493,Tucson,Pima,Arizona,AZ
347153,85747,32.0949667,-110.7654384,1675,Tucson,Pima,Arizona,AZ
347154,85707,32.1792037,-110.886913,144,Tucson,Pima,Arizona,AZ
347155,85708,32.1819235,-110.8664072,122,Tucson,Pima,Arizona,AZ
347156,85711,32.2152345,-110.8833944,2844,Tucson,Pima,Arizona,AZ
347157,85710,32.2141354,-110.8237253,3549,Tucson,Pima,Arizona,AZ
347160,85730,32.1815443,-110.7465516,2748,Tucson,Pima,Arizona,AZ
347161,85748,32.2189282,-110.7521102,1126,Tucson,Pima,Arizona,AZ
347162,85712,32.2528858,-110.886567,1474,Tucson,Pima,Arizona,AZ
347163,85715,32.2467215,-110.8361784,1058,Tucson,Pima,Arizona,AZ
347164,85750,32.3001292,-110.8359956,1341,Tucson,Pima,Arizona,AZ
347165,85749,32.2895843,-110.7335284,1362,Tucson,Pima,Arizona,AZ
347166,85611,31.6651675,-110.5102856,58,Elgin,Santa Cruz,Arizona,AZ
347167,85613,31.5678727,-110.3768435,878,Fort Huachuca,Cochise,Arizona,AZ
347169,85616,31.7019938,-110.3226536,329,Huachuca City,Cochise,Arizona,AZ
347170,85650,31.5007073,-110.2018353,983,Sierra Vista,Cochise,Arizona,AZ
347171,85635,31.5710113,-110.1702349,2134,Sierra Vista,Cochise,Arizona,AZ
347173,85630,31.8865722,-110.1810465,171,Saint David,Cochise,Arizona,AZ
347174,85641,32.0490476,-110.6228499,1614,Vail,Pima,Arizona,AZ
