COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION
Scott,38.5114851,-100.8883443,293,Kansas,KS
Scott,38.2453799,-84.5502413,3468,Kentucky,KY
Scott,44.6025652,-93.7726409,7973,Minnesota,MN
Scott,32.2962414,-89.6569516,2220,Mississippi,MS
Scott,36.9845341,-89.6915504,2938,Missouri,MO
Scott,36.3270388,-84.6063644,1467,Tennessee,TN
Scott,36.6571669,-82.5994876,1306,Virginia,VA
Scotts Bluff,41.8039856,-103.9735483,2619,Nebraska,NE
Screven,32.6909784,-81.8022821,1265,Georgia,GA
Scurry,32.8795109,-101.2467844,1231,Texas,TX
Searcy,35.780294,-92.8435311,500,Arkansas,AR
Sebastian,35.0041185,-94.3778188,8599,Arkansas,AR
Sedgwick,40.8670576,-102.5472757,132,Colorado,CO
Sedgwick,37.6423746,-97.7849587,34780,Kansas,KS
Seminole,28.6625535,-81.4117021,28375,Florida,FL
Seminole,34.9783911,-96.7355188,1772,Oklahoma,OK
Seneca,42.5919198,-76.8314278,2200,New York,NY
Seneca,41.0456264,-83.4194177,4785,Ohio,OH
Sequatchie,35.4376474,-85.4152091,769,Tennessee,TN
Sequoyah,35.5766165,-95.0938376,3112,Oklahoma,OK
Sevier,33.9028823,-94.285269,1332,Arkansas,AR
Sevier,35.8510942,-83.7348533,5929,Tennessee,TN
Sevier,38.5763484,-112.3170729,1622,Utah,UT
Seward,37.0977191,-100.9132485,1975,Kansas,KS
Seward,40.7837008,-97.2713373,1532,Nebraska,NE
Shackelford,32.5560038,-99.1647356,236,Texas,TX
Shannon,36.931336,-91.5011015,504,Missouri,MO
Shannon,43.1832105,-102.8379488,1522,South Dakota,SD
Sharkey,32.7743441,-90.9392771,392,Mississippi,MS
Sharp,36.0271333,-91.7139244,1246,Arkansas,AR
Shasta,40.3915424,-122.937883,12952,California,CA
Shawano,44.7898314,-89.1764047,2423,Wisconsin,WI
Shawnee,39.1631869,-95.9474954,11734,Kansas,KS
Sheboygan,43.6595836,-88.0913885,7636,Wisconsin,WI
Shelby,33.2600811,-86.9114743,12227,Alabama,AL
Shelby,39.2662667,-89.107186,1472,Illinois,IL
Shelby,39.5517808,-85.92648,2892,Indiana,IN
Shelby,41.6429492,-95.5244294,682,Iowa,IA
Shelby,38.1534178,-85.3549845,2586,Kentucky,KY
Shelby,39.6689094,-92.1502597,461,Missouri,MO
Shelby,40.2393094,-84.4000669,3404,Ohio,OH
Shelby,35.0378861,-90.1542423,72409,Tennessee,TN
Shelby,31.8971375,-94.413785,1886,Texas,TX
Shenandoah,38.655841,-78.6618561,2698,Virginia,VA
Sherburne,45.4752661,-93.9438564,6094,Minnesota,MN
Sheridan,39.5529082,-100.6172494,104,Kansas,KS
Sheridan,48.5847,-104.6912837,187,Montana,MT
Sheridan,42.028806,-102.4218614,313,Nebraska,NE
Sheridan,47.4919846,-100.4734017,56,North Dakota,ND
Sheridan,44.783123,-107.4869423,1900,Wyoming,WY
Sherman,39.4027349,-101.9946591,385,Kansas,KS
Sherman,41.1613009,-99.1246262,171,Nebraska,NE
Sherman,45.2870939,-120.8022773,93,Oregon,OR
Sherman,36.2768811,-101.9967247,196,Texas,TX
Shiawassee,42.887696,-84.3537028,5589,Michigan,MI
Shoshone,47.454339,-116.2340949,805,Idaho,ID
Sibley,44.5310904,-94.5531375,851,Minnesota,MN
Sierra,39.6053832,-120.811013,153,California,CA
Sierra,32.8124784,-107.5783829,541,New Mexico,NM
Silver Bow,45.7994403,-112.8309293,2432,Montana,MT
Simpson,36.7245354,-86.5644833,1053,Kentucky,KY
Simpson,31.9418437,-90.120075,2191,Mississippi,MS
Sioux,42.9603131,-96.3222315,3008,Iowa,IA
Sioux,42.6252269,-103.7929793,27,Nebraska,NE
Sioux,46.0873866,-101.0453562,412,North Dakota,ND
Siskiyou,41.6879054,-123.4832686,2835,California,CA
Skagit,48.4060245,-122.5121474,8098,Washington,WA
Skamania,45.8658903,-122.0652182,506,Washington,WA
Slope,46.3308982,-103.9447853,16,North Dakota,ND
Smith,39.8440982,-99.0165586,222,Kansas,KS
Smith,31.8964412,-89.5382537,953,Mississippi,MS
Smith,36.1561579,-86.0066245,1188,Tennessee,TN
Smith,32.4131067,-95.4433482,16231,Texas,TX
Smyth,36.9114147,-81.6897895,2092,Virginia,VA
Snohomish,47.8023438,-122.3741934,47556,Washington,WA
Snyder,40.7248691,-77.3525556,3312,Pennsylvania,PA
Socorro,33.8773402,-107.6562113,1444,New Mexico,NM
Solano,38.0897298,-122.2773944,30386,California,CA
Somerset,45.8696054,-70.266055,3321,Maine,ME
Somerset,37.9807744,-76.036546,2489,Maryland,MD
Somerset,40.5299334,-74.7423136,19141,New Jersey,NJ
Somerset,39.7485805,-79.3468915,4585,Pennsylvania,PA
Somervell,32.2084834,-97.7952465,675,Texas,TX
Sonoma,38.7430394,-123.4764179,33309,California,CA
Southampton,36.6800321,-77.3265251,846,Virginia,VA
Spalding,33.288801,-84.2799227,4280,Georgia,GA
Spartanburg,34.9055515,-82.1244143,20633,South Carolina,SC
Spencer,37.9394677,-87.1824525,1529,Indiana,IN
Spencer,38.042957,-85.3787796,1150,Kentucky,KY
Spink,44.7061668,-98.6152488,512,South Dakota,SD
Spokane,47.6938406,-117.8310063,35578,Washington,WA
Spotsylvania,38.0731242,-77.6960932,7911,Virginia,VA
St. Bernard,29.836707,-89.7374405,2555,Louisiana,LA
St. Charles,29.8191975,-90.4397097,3900,Louisiana,LA
St. Charles,38.5968676,-90.8940286,22270,Missouri,MO
St. Clair,33.5020192,-86.3379254,4974,Alabama,AL
St. Clair,38.5018574,-90.1765566,19364,Illinois,IL
St. Clair,42.9350431,-82.9164934,11891,Michigan,MI
St. Clair,38.1532099,-94.0066375,507,Missouri,MO
St. Croix,45.0680398,-92.7493686,4964,Wisconsin,WI
St. Francis,34.9655982,-91.1006064,1923,Arkansas,AR
St. Francois,37.712286,-90.5183462,4359,Missouri,MO
St. Helena,30.7006889,-90.7648877,472,Louisiana,LA
St. James,30.0361992,-90.8653997,1764,Louisiana,LA
St. John the Baptist,30.061668,-90.6496136,3622,Louisiana,LA
St. Johns,29.6775581,-81.4213316,12578,Florida,FL
St. Joseph,41.4819507,-86.4866287,21697,Indiana,IN
St. Joseph,41.7932622,-85.6717518,4381,Michigan,MI
St. Landry,30.4632555,-92.420164,6480,Louisiana,LA
St. Lawrence,44.4460823,-75.674198,9904,New York,NY
St. Louis,46.9556412,-92.9408449,14636,Minnesota,MN
St. Louis,38.48753,-90.6201185,72658,Missouri,MO
St. Louis (city),38.5846007,-90.2944324,21985,Missouri,MO
