POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION
380416,48336,42.460938,-83.345465,TESTCENTER,2267859,HIGH SCHOOL,MERCY HIGH SCHOOL,
380417,48336,42.4631444,-83.3472697,ZIP,,,,1635
380418,48240,42.42446,-83.3013004,ZIP,,,,1223
380419,48239,42.375554,-83.28895,TESTCENTER,2267339,HIGH SCHOOL,LEE M THURSTON HIGH SCHOOL,
380420,48239,42.3760459,-83.2831741,ZIP,,,,2670
380421,48223,42.3934527,-83.2463272,ZIP,,,,2408
380422,48033,42.4593218,-83.2932048,ZIP,,,,958
380423,48219,42.4253278,-83.2514284,ZIP,,,,4144
380424,48101,42.24,-83.22,TESTCENTER,2267785,HIGH SCHOOL,ALLEN PARK HIGH SCHOOL,
380425,48101,42.2594735,-83.2103905,ZIP,,,,1938
380426,48146,42.2432907,-83.1812577,ZIP,,,,2673
