COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION,ID2
Cambria,40.2906555,-78.9699433,9699,Pennsylvania,PA,42021
Camden,31.0133625,-81.81909350000001,3923,Georgia,GA,13039
Camden,37.964471,-92.96293709999999,2491,Missouri,MO,29029
Camden,39.783815000000004,-75.05606759999999,37180,New Jersey,NJ,34007
Camden,36.487866100000005,-76.3506868,674,North Carolina,NC,37029
Cameron,29.853374699999996,-93.56828809999999,213,Louisiana,LA,22023
Cameron,41.356513299999996,-78.1972792,327,Pennsylvania,PA,42023
Cameron,26.0620065,-97.8469709,35618,Texas,TX,48061
Camp,32.9657723,-95.127063,981,Texas,TX,48063
Campbell,39.0132482,-84.4538446,6550,Kentucky,KY,21037
Campbell,45.910166600000004,-100.35449100000001,71,South Dakota,SD,46021
Campbell,36.2603357,-84.292968,2612,Tennessee,TN,47013
Campbell,37.132961,-79.3727482,2572,Virginia,VA,51031
Campbell,43.7054424,-105.6195672,3199,Wyoming,WY,56005
Canadian,35.5875332,-98.1451886,7141,Oklahoma,OK,40017
Candler,32.407098,-82.0787881,749,Georgia,GA,13043
Cannon,35.8040035,-86.19269609999999,926,Tennessee,TN,47149
Canyon,43.7977175,-116.92957129999999,14943,Idaho,ID,16027
Cape Girardeau,37.1960014,-89.7382559,5860,Missouri,MO,29031
Cape May,38.9334463,-74.95389499999999,6129,New Jersey,NJ,34009
Carbon,45.0617258,-109.0877501,562,Montana,MT,30009
Carbon,40.8249635,-75.84620129999999,3836,Pennsylvania,PA,42025
Carbon,39.73952620000001,-110.93646299999999,1652,Utah,UT,49007
Carbon,41.239450299999994,-107.74140700000001,887,Wyoming,WY,56007
Caribou,42.777857,-111.9427149,474,Idaho,ID,16029
Carlisle,36.822560100000004,-89.02766770000001,310,Kentucky,KY,21039
Carlton,46.5125604,-92.9502483,2452,Minnesota,MN,27017
Caroline,38.7449676,-75.9127679,2396,Maryland,MD,24011
Caroline,37.942668,-77.4486656,1669,Virginia,VA,51033
Carroll,36.3732134,-93.743893,1525,Arkansas,AR,05015
Carroll,33.531700199999996,-85.2629964,10342,Georgia,GA,13045
Carroll,41.985775700000005,-90.0583204,1008,Illinois,IL,17015
Carroll,40.610524100000006,-86.6379891,1178,Indiana,IN,18015
Carroll,41.911564500000004,-95.0551423,1440,Iowa,IA,19027
Carroll,38.663259000000004,-85.1686727,818,Kentucky,KY,21041
Carroll,39.328183,-77.0714114,13111,Maryland,MD,24027
Carroll,33.4154104,-90.2121566,603,Mississippi,MS,28083
Carroll,39.3550679,-93.7044152,657,Missouri,MO,29033
Carroll,43.7177215,-71.3691786,2662,New Hampshire,NH,33003
Carroll,40.5023579,-81.25377390000001,1327,Ohio,OH,39019
Carroll,35.872744399999995,-88.6509627,2287,Tennessee,TN,47017
Carroll,36.5794307,-80.76512659999999,1253,Virginia,VA,51035
Carson,35.3466623,-101.4442625,371,Texas,TX,48065
Carson City (city),39.166998,-119.83923270000001,3573,Nevada,NV,32510
Carter,38.2884036,-83.1572001,2048,Kentucky,KY,21043
Carter,36.885591600000005,-91.15904549999999,504,Missouri,MO,29035
Carter,45.3281475,-104.8621057,71,Montana,MT,30011
Carter,34.43927,-97.52201490000002,3218,Oklahoma,OK,40019
Carter,36.300986,-82.29089240000002,2929,Tennessee,TN,47019
Carteret,34.7482839,-77.1504581,3424,North Carolina,NC,37133
Carver,44.7234273,-93.95695909999999,5949,Minnesota,MN,27019
Cascade,47.0886109,-111.68528229999998,5376,Montana,MT,30013
Casey,37.18180170000001,-85.023368,907,Kentucky,KY,21045
Cass,39.8841158,-90.3981775,989,Illinois,IL,17017
Cass,40.8566273,-86.5125014,2853,Indiana,IN,18017
Cass,41.2264551,-95.1266889,889,Iowa,IA,19029
